chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
merkel2020_c010,merkel2020,merkel,6,1.0,0.0
merkel2020_c011,merkel2020,merkel,5,1.0,0.0
merkel3_c000,merkel3,merkel,-1,0.0,0.2660358010795385
merkel3_c001,merkel3,merkel,-1,0.0,0.21842430661113316
merkel3_c002,merkel3,merkel,-1,0.0,0.23401201326536528
merkel3_c003,merkel3,merkel,-1,0.0,0.27931934251845936
merkel3_c004,merkel3,merkel,3,0.9343963416745316,0.06560365832546843
merkel3_c005,merkel3,merkel,3,0.9332007148858172,0.06679928511418275
merkel3_c006,merkel3,merkel,3,1.0,0.0
merkel3_c007,merkel3,merkel,-1,0.0,0.24328271793347767
merkel3_c008,merkel3,merkel,8,0.9885748075467784,0.011425192453221598
merkel3_c009,merkel3,merkel,-1,0.0,0.23699874157800746
merkel3_c010,merkel3,merkel,5,1.0,0.0
putin2022_c000,putin2022,putin,-1,0.0,0.2563224889115904
putin2022_c001,putin2022,putin,-1,0.0,0.2910325151958612
putin2022_c002,putin2022,putin,-1,0.0,0.2770782718723142
putin2022_c003,putin2022,putin,-1,0.0,0.2199523410061425
putin2022_c004,putin2022,putin,5,0.9414968135923902,0.19925454876237195
putin2022_c005,putin2022,putin,6,1.0,0.0
putin2022_c006,putin2022,putin,7,0.9472681021073479,0.05273189789265212
putin2022_c007,putin2022,putin,-1,0.0,0.30156240051562405
putin2022_c008,putin2022,putin,-1,0.0,0.22584004950361805
putin2022_c009,putin2022,putin,5,1.0,0.0
putin2022_c010,putin2022,putin,5,1.0,0.0
putin2023_c000,putin2023,putin,-1,0.0,0.2816272258968397
putin2023_c001,putin2023,putin,-1,0.0,0.2793023426870666
putin2023_c002,putin2023,putin,-1,0.0,0.2747276889828459
putin2023_c003,putin2023,putin,-1,0.0,0.2996719512859879
putin2023_c004,putin2023,putin,-1,0.0,0.2561176209870325
putin2023_c005,putin2023,putin,-1,0.0,0.282067324216078
putin2024_c000,putin2024,putin,-1,0.0,0.23451849468769342
putin2024_c001,putin2024,putin,-1,0.0,0.22079105222236178
putin2024_c002,putin2024,putin,-1,0.0,0.26406099539980327
putin2024_c003,putin2024,putin,5,1.0,0.0
putin2025_c000,putin2025,putin,5,0.965419196894419,0.1789085004961313
putin2025_c001,putin2025,putin,5,0.9495926014107916,0.19236906048861502
putin2025_c002,putin2025,putin,5,1.0,0.0
putin2025_c003,putin2025,putin,5,0.9630975325423307,0.1808830819736212
putin2025_c004,putin2025,putin,5,0.9990072434185637,0.15034178090465025
trump1_c000,trump1,trump,-1,0.0,0.2235572790155881
trump1_c001,trump1,trump,6,1.0,0.0
trump1_c002,trump1,trump,6,1.0,0.0
trump1_c003,trump1,trump,-1,0.0,0.2572874908255851
trump1_c004,trump1,trump,-1,0.0,0.26081132659250655
trump1_c005,trump1,trump,-1,0.0,0.2345336999905542
trump1_c006,trump1,trump,7,0.9786402454825555,0.021359754517444547
trump1_c007,trump1,trump,7,1.0,0.0
trump1_c008,trump1,trump,7,1.0,0.0
trump1_c009,trump1,trump,7,0.9810510226287886,0.018948977371211366
trump1_c010,trump1,trump,7,1.0,0.0
trump1_c011,trump1,trump,7,0.9498093248325508,0.05019067516744929
trump1_c012,trump1,trump,-1,0.0,0.23908892621929367
trump1_c013,trump1,trump,3,0.9631031297292494,0.036896870270750635
trump1_c014,trump1,trump,3,0.9343963416745316,0.06560365832546843
trump1_c015,trump1,trump,3,0.9631031297292494,0.036896870270750635
trump1_c016,trump1,trump,-1,0.0,0.24274550549691642
trump1_c017,trump1,trump,8,1.0,0.0
trump1_c018,trump1,trump,-1,0.0,0.2983443651793061
trump1_c019,trump1,trump,8,1.0,0.0
trump1_c020,trump1,trump,-1,0.0,0.25663082989064495
trump1_c021,trump1,trump,-1,0.0,0.2333974359972178
trump1_c022,trump1,trump,5,0.9495926014107916,0.19236906048861502
trump1_c023,trump1,trump,5,0.9495926014107916,0.19236906048861502
trump1_c024,trump1,trump,-1,0.0,0.2020387613480291
trump1_c025,trump1,trump,-1,0.0,0.23725959205946034
trump1_c026,trump1,trump,-1,0.0,0.23739455676637974
trump1_c027,trump1,trump,5,0.9515472869177976,0.190706595458741
trump2_c000,trump2,trump,-1,0.0,0.2458218471629097
trump2_c001,trump2,trump,-1,0.0,0.268841008093975
trump2_c002,trump2,trump,-1,0.0,0.25478115574519317
trump3_c000,trump3,trump,-1,0.0,0.20229255205277596
trump3_c001,trump3,trump,-1,0.0,0.19970724444012203
trump3_c002,trump3,trump,1,1.0,0.0
trump3_c003,trump3,trump,8,1.0,0.0
trump3_c004,trump3,trump,8,1.0,0.0
trump3_c005,trump3,trump,-1,0.0,0.2396407398002706
trump3_c006,trump3,trump,-1,0.0,0.2519446735671996
trump3_c007,trump3,trump,-1,0.0,0.24244368947354084
trump3_c008,trump3,trump,-1,0.0,0.2519446735671996
trump3_c009,trump3,trump,-1,0.0,0.2519446735671996
trump3_c010,trump3,trump,-1,0.0,0.2519446735671996
trump3_c011,trump3,trump,0,1.0,0.0
trump3_c012,trump3,trump,5,0.9630975325423307,0.1808830819736212
trump3_c013,trump3,trump,-1,0.0,0.2023753114579447
trump3_c014,trump3,trump,-1,0.0,0.2191236776117862
trump3_c015,trump3,trump,5,0.9630975325423307,0.1808830819736212
trump3_c016,trump3,trump,5,0.9515472869177976,0.190706595458741
